iter	Passed	Remaining
491	642	662
492	643	661
493	644	660
494	645	658
495	647	657
496	648	656
497	649	654
498	650	653
499	652	652
500	653	650
501	654	649
502	656	648
503	657	646
504	658	645
505	659	644
506	661	642
507	662	641
508	663	640
509	664	638
510	666	637
511	667	636
512	669	635
513	670	633
514	671	632
515	672	631
516	674	629
517	675	628
518	676	627
519	677	625
520	679	624
521	680	623
522	681	621
523	683	620
524	684	619
525	685	617
526	686	616
527	688	615
528	689	613
529	690	612
530	692	611
531	693	609
532	694	608
533	695	607
534	697	606
535	698	604
536	699	603
537	701	602
538	702	600
539	703	599
540	705	598
541	706	596
542	707	595
543	709	594
544	710	592
545	711	591
546	712	590
547	714	589
548	715	587
549	716	586
550	717	585
551	719	583
552	720	582
553	721	581
554	723	579
555	724	578
556	725	577
557	727	576
558	728	574
559	729	573
560	731	572
561	732	570
562	733	569
563	734	568
564	736	566
565	737	565
566	738	564
567	739	562
568	741	561
569	742	560
570	743	558
571	745	557
572	746	556
573	747	554
574	748	553
575	750	552
576	751	550
577	752	549
578	754	548
579	755	547
580	756	545
581	758	544
582	759	543
583	760	541
584	761	540
585	763	539
586	764	537
587	765	536
588	766	535
589	768	533
590	769	532
591	770	531
592	772	529
593	773	528
594	774	527
595	775	525
596	777	524
597	778	523
598	779	521
599	780	520
600	782	519
601	783	517
602	784	516
603	786	515
604	787	514
605	788	512
606	789	511
607	791	510
608	792	508
609	793	507
610	794	506
611	796	504
612	797	503
613	798	502
614	799	500
615	801	499
616	802	498
617	803	496
618	805	495
619	806	494
620	807	492
621	808	491
622	810	490
623	811	488
624	812	487
625	814	486
626	815	485
627	816	483
628	817	482
629	819	481
630	820	479
631	821	478
632	822	477
633	824	475
634	825	474
635	826	473
636	828	471
637	829	470
638	830	469
639	831	467
640	833	466
641	834	465
642	835	464
643	837	462
644	838	461
645	839	460
646	840	458
647	842	457
648	843	456
649	844	454
650	846	453
651	847	452
652	848	451
653	850	449
654	851	448
655	852	447
656	854	445
657	855	444
658	856	443
659	857	441
660	859	440
661	860	439
662	861	437
663	863	436
664	864	435
665	865	434
666	866	432
667	868	431
668	869	430
669	870	428
670	871	427
671	873	426
672	874	424
673	875	423
674	877	422
675	878	421
676	879	419
677	881	418
678	882	417
679	883	415
680	884	414
681	886	413
682	887	411
683	888	410
684	890	409
685	891	407
686	892	406
687	894	405
688	895	404
689	896	402
690	898	401
691	899	400
692	900	398
693	901	397
694	903	396
695	904	395
696	905	393
697	907	392
698	908	391
699	909	389
700	911	388
701	912	387
702	913	386
703	914	384
704	916	383
705	917	382
706	918	380
707	920	379
708	921	378
709	922	376
710	924	375
711	925	374
712	926	373
713	928	371
714	929	370
715	931	369
716	932	368
717	933	366
718	935	365
719	936	364
720	937	362
721	939	361
722	940	360
723	941	359
724	943	357
725	944	356
726	945	355
727	947	353
728	948	352
729	949	351
730	950	349
731	952	348
732	953	347
733	954	346
734	956	344
735	957	343
736	958	342
737	960	340
738	961	339
739	962	338
740	964	336
741	965	335
742	966	334
743	968	333
744	969	331
745	970	330
746	971	329
747	973	327
748	974	326
749	975	325
750	976	323
751	978	322
752	979	321
753	980	320
754	982	318
755	983	317
756	984	316
757	986	314
758	987	313
759	988	312
760	989	310
761	991	309
762	992	308
763	993	306
764	995	305
765	996	304
766	997	303
767	998	301
768	1000	300
769	1001	299
770	1002	297
771	1004	296
772	1005	295
773	1006	293
774	1007	292
775	1009	291
776	1010	289
777	1011	288
778	1013	287
779	1014	286
